,ID,Fuel Type Code,Station Name,Street Address,City,State,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date
558,184553,ELEC,"NAVSTA Great Lakes / N00128-B68-1,2,3,4,5",201 Decatur Ave,Great Lakes,IL,E,,Private - Government only,,,Non-Networked,,GPS,42.310693,-87.835616,02/22/2021,FG,14.0,Department of Navy,01/15/2021
567,46826,ELEC,Glendale Nissan,484 North Ave,Glendale Heights,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.904021,-88.068043,06/09/2020,P,,,01/31/2012
569,114172,ELEC,Holiday Inn Chicago-Elk Grove - Tesla Destination,1000 Busse Rd,Elk Grove Village,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,42.010468,-87.960841,10/06/2022,P,,,11/14/2017
577,114205,ELEC,Loews Chicago O'Hare - Tesla Destination,5300 N River Rd,Rosemont,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.9745,-87.862956,10/06/2022,P,,,09/22/2015
593,158349,ELEC,Chicago Midway International Airport - Long-Term Parking Garage,4799 W 54th St,Chicago,IL,E,,Public,24 hours daily,,Non-Networked,,GPS,41.79407,-87.749467,06/09/2020,P,,,05/29/2020
595,114177,ELEC,R Place - Tesla Destination,1527 Harlem Ave,Forest Park,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.8585916,-87.8044168,10/06/2022,P,,,12/04/2017
599,122081,ELEC,Naval Facilities Engineering Command - Naval Training Center - Building 11,2601 E Paul Jones St,Great Lakes,IL,E,,Private,Fleet use only,,Non-Networked,,GPS,42.313411,-87.831183,02/22/2021,FG,14.0,Department of Navy,02/01/2019
601,114206,ELEC,Hyatt Regency O'Hare - Tesla Destination,9300 Bryn Mawr Ave,Rosemont,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.981019,-87.85953,10/06/2022,P,,,09/09/2015
606,150750,ELEC,Village of Oak Brook - Village Hall - Tesla Destination,1200 Oak Brook Rd,Oak Brook,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.833081,-87.947854,10/06/2022,P,,,03/14/2019
614,46806,ELEC,Berman Nissan - Chicago,4444 W Irving Park Rd,Chicago,IL,E,,Public - Call ahead,Dealership business hours; contact 773-282-6200 for more information,,Non-Networked,,200-9,41.953751,-87.739697,06/09/2020,P,,,01/31/2012
626,164167,ELEC,Chicago Travel Plaza - Tesla Supercharger,Building 840 Chicago O'Hare International Airport,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.998752,-87.888342,10/03/2022,P,,,07/10/2020
633,169248,ELEC,"Virgin Hotels, Chicago - LAZ Parking - Tesla Destination",203 N Wabash Ave,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.88605,-87.626025,10/06/2022,P,,,03/24/2015
639,229593,ELEC,Best Western Hawthorne Terrace,3434 N Broadway Ave,Chicago,IL,E,,Public - Credit card at all times,Contact station for hours of availability.,,AMPUP,https://ampup.io/,200-9,41.944195,-87.645488,10/11/2022,P,,,09/15/2022
645,114150,ELEC,Amy Home Services - Tesla Destination,39 N Western Ave,Carpentersville,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.109924,-88.296276,10/06/2022,P,,,05/26/2015
648,189896,ELEC,DP Westlake at Conway,1925 W Field Ct,Lake Forest,IL,E,,Private,Also accepts PayPal,,EV Connect,http://evconnect.com/,200-9,42.244863,-87.893665,06/07/2021,P,,,01/20/2021
651,47197,ELEC,Thomas Nissan - Joilet,1421 N Larkin Ave,Joliet,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.548858,-88.12682,06/09/2020,P,,,01/31/2012
659,116801,ELEC,Fashion Outlets of Chicago - Tesla Supercharger,5220 Fashion Outlets Way,Rosemont,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.975263,-87.866046,10/03/2022,P,,,12/01/2018
663,47206,ELEC,Hawkinson Nissan,5513 Miller Cir Dr,Matteson,IL,E,,Private,,,Non-Networked,,200-9,41.505031,-87.748285,06/09/2020,P,,,01/31/2012
667,47196,ELEC,Woodfield Nissan,700 W Higgins Rd,Hoffman Estates,IL,E,,Private,,,Non-Networked,,GPS,42.050116,-88.097379,06/09/2020,P,,,01/31/2012
671,46820,ELEC,McGrath Nissan,945 E Chicago St,Elgin,IL,E,,Private,,,Non-Networked,,200-9,42.033769,-88.255193,06/09/2020,P,,,01/31/2012
678,230633,ELEC,9399 Garage,9399 W Higgins Rd,Rosemont,IL,E,,Private,Contact station for hours of availability.,,AMPUP,https://ampup.io/,200-8,41.990488,-87.859251,10/11/2022,P,,,09/15/2022
696,241144,ELEC,Main Place Mall Shopping Center - Tesla Supercharger,14225 S 95th Ave,Orland Park,IL,E,,Public,24 hours daily,,Tesla,https://www.tesla.com/supercharger,GPS,41.632333,-87.850228,02/13/2023,P,,,12/23/2022
719,196870,ELEC,Paul Simon Chicago JCC,,Chicago,IL,E,,Private - Government only,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,Non-Networked,,GPS,41.878114,-87.629798,10/12/2021,FG,13.0,Department of Labor,09/21/2021
727,102156,ELEC,The Maxwell - Tesla Supercharger,1100 South Canal Street,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,200-9,41.869126,-87.639971,10/03/2022,P,,,04/01/2018
746,158352,ELEC,Hove Nissan,1405 N Kinzie Ave,Bourbonnais,IL,E,,Public,Dealership business hours,,Non-Networked,,GPS,41.165404,-87.85026,01/10/2023,P,,,05/29/2020
747,70471,ELEC,Zeigler Nissan,18850 W Grand Ave,Lake Villa,IL,E,,Private,Service center use only,,Non-Networked,,200-9,42.386748,-88.000335,06/09/2020,P,,,08/29/2011
753,168276,ELEC,Meijer - Tesla Supercharger,808 IL-59,Aurora,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.769111,-88.208052,10/03/2022,P,,,11/02/2020
774,68546,ELEC,Argonne National Laboratory,9700 S. Cass Avenue,Lemont,IL,E,,Private,DOE fleet use only,,Non-Networked,,GPS,41.71298,-87.960781,07/12/2022,FG,8.0,U.S. Department of Energy,06/30/2015
787,47134,ELEC,Martin Nissan,5240 Golf Rd,Skokie,IL,E,,Private,,,Non-Networked,,200-9,42.055712,-87.757895,03/07/2022,P,,,01/31/2012
790,67832,ELEC,North Central College - Residence Hall and Recreation Center,440 S Brainard St,Naperville,IL,E,,Public,"For employees, students, and campus visitors only",,Non-Networked,,200-8,41.770158,-88.144216,01/10/2023,P,,,01/01/2014
817,47220,ELEC,Orland Park Nissan,8550 W 159th St,Orland Park,IL,E,,Private,,,Non-Networked,,200-9,41.602458,-87.827796,06/09/2020,P,,,01/31/2012
822,230438,ELEC,Vanguard Warrenville Apartments,28262 Diehl Rd,Warrenville,IL,E,,Public - Credit card at all times,Contact station for hours of availability.,,AMPUP,https://ampup.io/,200-8,41.803567,-88.174053,10/11/2022,P,,,09/15/2022
825,114164,ELEC,640 N LaSalle Parking Garage - Tesla Destination,640 N LaSalle St,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.8936252,-87.6334239,10/06/2022,P,,,10/23/2017
854,46837,ELEC,Nissan of St Charles,2535 E Main St,St. Charles,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.920486,-88.284011,06/09/2020,P,,,01/31/2012
867,169113,ELEC,Sofitel Chicago - Tesla Destination,20 E Chestnut St,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.898653,-87.627307,10/06/2022,P,,,05/09/2018
876,114141,ELEC,"Hilton Garden Inn, Addison - Tesla Destination",551 N Swift Rd,Addison,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.9364472,-88.0390738,10/06/2022,P,,,07/27/2017
877,40806,ELEC,Rivers Casino,3000 S River Rd,Des Plaines,IL,E,,Private,Employee and customer use only,,Non-Networked,,200-9,41.99774,-87.864217,09/10/2021,P,,,03/01/2011
882,169247,ELEC,Village of Oak Brook - Golf Club - Tesla Destination,2606 York Road,Oak Brook,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.841189,-87.930678,10/06/2022,P,,,04/20/2018
889,102161,ELEC,Abt Electronics - Tesla Supercharger,1200 Milwaukee Avenue,Glenview,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,200-9,42.0771634,-87.860828,10/03/2022,P,,,07/23/2018
890,46809,ELEC,Continental Nissan,5750 S La Grange Rd,Countryside,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.78586,-87.8685,06/09/2020,P,,,01/31/2012
903,114184,ELEC,The Herrington Inn and Spa - Tesla Destination,15 S River Ln,Geneva,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.8868446,-88.3038036,10/06/2022,P,,,01/22/2015
906,250893,ELEC,Bill's Pizza & Pub - Tesla Destination,624  S. Lake Street,Mundelein,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,42.25442,-88.00158,10/06/2022,P,,,03/22/2022
907,114213,ELEC,Waukegan National Airport - Tesla Destination,2601 W Plane Rest Dr,Waukegan,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,42.4168768,-87.8672769,10/06/2022,P,,,11/03/2017
918,46818,ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,Downers Grove,IL,E,,Private,,,Non-Networked,,200-9,41.807887,-88.024848,06/09/2020,P,,,01/31/2012
922,47216,ELEC,Star Nissan,5757 W Touhy Ave,Niles,IL,E,,Private,,,Non-Networked,,200-9,42.01155,-87.771151,03/07/2022,P,,,01/31/2012
925,220202,ELEC,Burr Ridge Village Center - Tesla Supercharger,515 Village Center Drive,Burr Ridge,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.7522431,-87.9139903,10/03/2022,P,,,05/24/2022
929,114196,ELEC,Advantage Gallery - Tesla Destination,7850 N. Milwaukee Ave,Niles,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.0240608,-87.8129991,10/06/2022,P,,,03/18/2016
931,163873,ELEC,Meijer - Tesla Supercharger,3800 Vollmer Road,Flossmoor,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.529301,-87.709496,10/03/2022,P,,,06/26/2020
942,190810,ELEC,Target - Tesla Supercharger,2656 North Elston Avenue,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.92780291,-87.68588061,10/03/2022,P,,,06/01/2021
950,50078,ELEC,Prairie Trail School,13600 W Wadsworth Rd,Wadsworth,IL,T,07/27/2023,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,Non-Networked,,200-9,42.432421,-87.896197,01/10/2023,P,,,11/27/2012
956,114160,ELEC,Millennium Lakeside Garage - Tesla Destination,5 S Columbus Dr,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.882094,-87.620496,10/06/2022,P,,,01/02/2019
966,47198,ELEC,Thomas Nissan - Joilet,1421 N Larkin Ave,Joliet,IL,E,,Private,,,Non-Networked,,200-9,41.548858,-88.12682,06/09/2020,P,,,01/31/2012
969,251044,ELEC,Bill's Pizza & Pub - Tesla Destination,624 S. Lake Street,Mundelein,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,42.25452,-88.00147,10/06/2022,P,,,06/22/2021
980,238757,ELEC,Chabad of Northbrook,2095 Landwehr Rd,Northbrook,IL,E,,Private,9am-5pm daily,,Non-Networked,,200-8,42.11455,-87.85762,01/10/2023,P,,,06/01/2022
982,184544,ELEC,"NAVSTA Great Lakes / N00128-B3-1,2,3,4",Luce Blvd & Porter St,Great Lakes,IL,E,,Private - Government only,,,Non-Networked,,GPS,42.313581,-87.837651,02/22/2021,FG,14.0,Department of Navy,01/15/2021
984,114146,ELEC,Eola Community Center - Tesla Destination,555 S Eola Rd,Aurora,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.7458905,-88.2479397,10/06/2022,P,,,03/29/2018
993,47209,ELEC,Al Piemonte Nissan,1600 W North Ave,Melrose Park,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.907344,-87.854085,03/07/2022,P,,,01/31/2012
999,251338,ELEC,Mac Management Co,640 N La Salle St,Chicago,IL,E,,Private,Contact station for hours of availability,,AMPUP,https://ampup.io/,GPS,41.8936332,-87.6329,02/13/2023,P,,,12/02/2022
1010,102157,ELEC,The Aqua at Lakeshore East - Tesla Supercharger,225 North Columbus Drive,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,200-9,41.88651,-87.61972,10/03/2022,P,,,04/01/2018
1019,114174,ELEC,Clarion Inn Elmhurst - Oakbrook - Tesla Destination,933 S Riverside Dr,Elmhurst,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.869944,-87.95672,10/06/2022,P,,,07/10/2017
1023,114208,ELEC,Fairfield Inn & Suites by Marriott Chicago - Tesla Destination,700 National Pkwy,Schaumburg,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.0413625,-88.0509415,10/06/2022,P,,,11/21/2017
1030,150749,ELEC,Village of Oak Brook - Bath and Tennis Club - Tesla Destination,800 Oak Brook Rd,Oak Brook,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.832924,-87.941815,10/06/2022,P,,,03/14/2019
1032,122296,ELEC,NEWCITY - Tesla Supercharger,1457 North Halstead Ave,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.908065,-87.646836,10/03/2022,P,,,03/01/2019
1047,114200,ELEC,Village of Oak Brook - Soccer Club Lot - Tesla Destination,700 Oak Brook Rd,Oak Brook,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.834286,-87.935472,10/06/2022,P,,,04/11/2018
1048,46833,ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,E,,Private,,,Non-Networked,,200-9,41.798401,-88.37177,03/07/2022,P,,,01/31/2012
1057,77661,ELEC,Veterans Administration - North Chicago,3001 Greenbay Rd N,North Chicago,IL,E,,Private,,,Non-Networked,,200-8,42.308183,-87.862407,02/22/2021,FG,19.0,Department of Veterans Affairs,08/15/2016
1059,250894,ELEC,Bill's Pub North - Tesla Destination,18945  W. Washington Street,Third Lake,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,42.36002,-88.00397,10/06/2022,P,,,04/06/2022
1066,114156,ELEC,Grant Park North - Tesla Destination,25 N Michigan Ave,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.882267,-87.624325,10/06/2022,P,,,02/11/2016
1076,166665,ELEC,The Marke of Elmhurst,100 N Addison Ave,Elmhurst,IL,E,,Private,Also accepts Paypal,,EV Connect,http://evconnect.com/,GPS,41.9002646,-87.941968,10/09/2020,P,,,11/15/2019
1077,145073,ELEC,Conrad's Harley-Davidson,19356 NE Frontage Rd,Shorewood,IL,E,,Public,24 hours daily,,Non-Networked,,200-8,41.521922,-88.186571,01/14/2021,P,,,09/01/2019
1081,158353,ELEC,Riverside Medical Center,350 N Wall St,Kankakee,IL,E,,Public,24 hours daily,,Non-Networked,,GPS,41.125554,-87.881668,01/10/2023,P,,,05/29/2020
1086,70446,ELEC,Zeigler Nissan,18850 W Grand Ave,Lake Villa,IL,E,,Public - Call ahead,Dealership business hours; contact 847-264-4572 for more information,,Non-Networked,,200-9,42.386748,-88.000335,06/09/2020,P,,,08/29/2011
1089,185101,ELEC,Naval Station Great Lakes,1506 Spaulding St,Great Lakes,IL,E,,Private - Fleet customers only,Drivers must bring their own J1772 cordset for Level 1 charging,,Non-Networked,,GPS,42.315152,-87.849921,02/22/2021,FG,14.0,Department of Navy,01/15/2021
1100,46802,ELEC,Hove Buick-Nissan,1405 N Kinzie,Bradley,IL,E,,Private,,,Non-Networked,,GPS,41.154031,-87.851483,06/09/2020,P,,,01/31/2012
1104,169302,ELEC,Woodman's - Tesla Supercharger,1550 Deerfield Parkway,Buffalo Grove,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,42.169081,-87.922739,10/03/2022,P,,,11/09/2020
